"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","605","Demo · Add Sauce Labs Backpack to cart","chromium","2026-08-17","passed","2026-08-17","","","",""
"","756","Demo · Add Sauce Labs Backpack to cart","firefox","2026-08-17","passed","2026-08-17","","","",""
"","753","Demo · Login — valid","firefox","2026-08-17","passed","2026-08-17","","","",""
"","706","missing zip code is rejected","chromium","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","963","missing zip code is rejected","firefox","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","427","empty username shows error","chromium","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","986","missing last name is rejected","firefox","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","1137","Demo · Complete full checkout","firefox","2026-08-17","passed","2026-08-17","","","",""
"","1024","missing last name is rejected","webkit","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","552","Non-existing product cannot be added to cart","chromium","2026-08-17","passed","2026-08-17","Negative test","","",""
"","604","wrong password is rejected","firefox","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","659","empty username shows error","webkit","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","544","empty username shows error","firefox","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","802","Non-existing product cannot be added to cart","webkit","2026-08-17","passed","2026-08-17","Negative test","","",""
"","1190","Demo · Complete full checkout","webkit","2026-08-17","passed","2026-08-17","","","",""
"","1232","full E2E purchase flow","chromium","2026-08-17","passed","2026-08-17","FE test","","",""
"","652","wrong password is rejected","webkit","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","663","locked_out_user is rejected","webkit","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","602","locked_out_user is rejected","firefox","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","692","missing last name is rejected","chromium","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","452","locked_out_user is rejected","chromium","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
"","1701","full E2E purchase flow","firefox","2026-08-17","passed","2026-08-17","FE test","","",""
"","1056","missing zip code is rejected","webkit","2026-08-17","passed","2026-08-17","Demo · Checkout — negative (missing fields)","","",""
"","5322","User can add a product to the cart","webkit","2026-08-17","passed","2026-08-17","Add to cart","","",""
"","757","Demo · Login — valid","webkit","2026-08-17","passed","2026-08-17","","","",""
"","549","Demo · Login — valid","chromium","2026-08-17","passed","2026-08-17","","","",""
"","2303","User can add a product to the cart","firefox","2026-08-17","passed","2026-08-17","Add to cart","","",""
"","751","Non-existing product cannot be added to cart","firefox","2026-08-17","passed","2026-08-17","Negative test","","",""
"","750","Demo · Complete full checkout","chromium","2026-08-17","passed","2026-08-17","","","",""
"","1676","full E2E purchase flow","webkit","2026-08-17","passed","2026-08-17","FE test","","",""
"","885","Demo · Add Sauce Labs Backpack to cart","webkit","2026-08-17","passed","2026-08-17","","","",""
"","1016","User can add a product to the cart","chromium","2026-08-17","passed","2026-08-17","Add to cart","","",""
"","457","wrong password is rejected","chromium","2026-08-17","passed","2026-08-17","Demo · Login — negative","","",""
